작가명,경매일,작품정보,추정가,낙찰가,차액
이준 李儁,2019.12.12,시고 詩稿 : 낭영 郞瑛 시 | 종이에 먹 | 142.3x61.3cm | 전주 全州/순칠 舜七,"8,000,000 - 15,000,000","14,000,000","6,000,000"
김창숙 金昌淑,2019.12.12,서간 書簡 | 1898년(무술) | 종이에 먹 | 22.3x46.8cm | 의성 義城/문좌 文佐,"1,200,000 - 3,000,000","1,700,000","500,000"
강진희 姜璡熙,2019.12.12,"궁결빙설 躬潔氷雪 : 취산 김구하(鷲山 金九河, 1872-1965) 스님에게 | 1917년(67세) | 종이에 먹 | 131x32.2cm | 진주 晉州/진오 進五","700,000 - 1,500,000","1,700,000","1,000,000"
"최익현 崔益鉉, 임헌회 任憲晦, 기정진 奇正鎭",2019.12.12,다암 위영복 茶嵒 魏榮馥(1832-1884)에게 | 종이에 먹 | 23.8x125.3cm 외 | 경주 慶州/찬겸 贊謙,"2,500,000 - 5,000,000","4,300,000","1,800,000"
한용운 韓龍雲,2019.12.12,"서간 書簡 : 화엄사 진진응(陳震應, 1873-1941)스님께 | 1912년 | 종이에 먹 | 14.2x8.9cm | 청주 淸州","40,000,000 - 80,000,000","40,000,000",0
김보정 金寶鼎 외,2019.12.12,서간 書簡 19점 일괄 | 종이에 먹 | 12.3x18.2cm 외,"10,000,000 - 30,000,000","12,000,000","2,000,000"
허건 許楗,2019.12.12,산수 山水 | 종이에 수묵담채 | 30.9x60.2cm | 양천 陽川,"600,000 - 1,500,000",낙찰 X,N/A
이종상 李鐘祥,2019.12.12,횡행개사 橫行介士 | 1981년 | 종이에 수묵담채 | 31.5x40.5cm,"1,400,000 - 3,000,000",낙찰 X,N/A
김학수 金學洙,2019.12.12,망해 望海 | 1978년 | 종이에 수묵담채 | 46x71.5cm,"1,000,000 - 2,500,000","1,000,000",0
傳 방희용 方羲鏞,2019.12.12,산수 山水 | 종이에 수묵 | 20x27.6cm | 온양 溫陽/성중 聖中,"3,000,000 - 6,000,000",낙찰 X,N/A
작가미상,2019.12.12,산수 山水 | 종이에 수묵담채 | 26.8x40.8cm,"800,000 - 2,000,000","800,000",0
성재휴 成在烋,2019.12.12,산수 山水 | 종이에 수묵담채 | 33.1x64.3cm | 창녕 昌寧,"3,000,000 - 5,000,000","3,300,000","300,000"
김진우 金振宇,2019.12.12,묵죽 墨竹 | 1926년(병인) | 종이에 수묵 | 26.3x40.5cm | 강릉 江陵/군협 君協,"1,000,000 - 2,500,000",낙찰 X,N/A
허건 許楗,2019.12.12,산수 山水 : 선면 | 종이에 수묵담채 | 16x57cm | 양천 陽川,"500,000 - 1,200,000",낙찰 X,N/A
작가미상,2019.12.12,관폭 觀瀑 | 종이에 수묵담채 | 23.5x26.5cm,"800,000 - 2,000,000","1,100,000","300,000"
노수현 盧壽鉉,2019.12.12,춘경 春景 | 비단에 수묵담채 | 53x38.2cm | 광주 光州,"1,500,000 - 3,000,000",낙찰 X,N/A
박승무 朴勝武,2019.12.12,설중귀로 雪中歸路 | 1974년(갑인) | 종이에 수묵담채 | 32.1x29.5cm | 반남 潘南,"400,000 - 1,000,000","700,000","300,000"
작가미상,2019.12.12,묵매 墨梅 | 종이에 수묵 | 97.8x60.7cm,"7,000,000 - 15,000,000","7,700,000","700,000"
지운영 池雲英,2019.12.12,산수 山水 | 1931년(신미) | 비단에 수묵담채 | 123.8x45cm | 충주 忠州,"500,000 - 1,500,000","500,000",0
고희동 高羲東,2019.12.12,수성노인 壽星老人 | 종이에 수묵담채 | 131x30.8cm | 제주 濟州,"1,000,000 - 3,000,000",낙찰 X,N/A
민경갑 閔庚甲,2019.12.12,산수 山水 | 1989년(기사) | 종이에 수묵담채 | 37.5x45cm,"1,200,000 - 2,500,000",낙찰 X,N/A
민경갑 閔庚甲,2019.12.12,산수 山水 | 2016년 | 종이에 수묵담채 | 32.5x41.5cm,"1,500,000 - 3,000,000",낙찰 X,N/A
오태학 吳泰鶴,2019.12.12,고기잡이 | 1980년(경신) | 종이에 수묵담채 | 35.6x30.4cm,"1,000,000 - 2,000,000","2,100,000","1,100,000"
이도영 李道榮,2019.12.12,노안 蘆雁 : 선면 | 1929년(기사) | 비단에 수묵담채 | 14.5x50.8cm | 연안 延安/중일 仲一,"600,000 - 1,400,000","600,000",0
작가미상,2019.12.12,목동귀가 牧童歸家 | 비단에 수묵담채 | 23.1x45.8cm,"1,000,000 - 2,500,000","1,500,000","500,000"
이상범 李象範,2019.12.12,기국 杞菊 : 선면 | 종이에 수묵담채 | 15x46.5cm | 전주 全州,"1,000,000 - 2,500,000","1,000,000",0
김은호 金殷鎬,2019.12.12,"송령학수 松齡鶴壽 : 일석 이희승(一石 李熙昇, 1896-1989) 팔순에 | 1976년 | 종이에 수묵담채 | 31.2x40.5cm | 상산 商山","1,000,000 - 2,500,000",낙찰 X,N/A
고희동 高羲東,2019.12.12,산수 山水 | 1939년(기묘) | 비단에 수묵담채 | 103.8x44.5cm | 제주 濟州,"1,200,000 - 2,500,000","1,200,000",0
이응노 李應魯,2019.12.12,묵죽 墨竹 | 종이에 수묵 | 140.7x34.8cm | 전의 全義,"600,000 - 1,200,000","1,200,000","600,000"
이상범 李象範,2019.12.12,설경 雪景 : 선면 | 1954년(갑오) | 종이에 수묵담채 | 13x49cm | 전주 全州,"5,000,000 - 10,000,000",낙찰 X,N/A
박래현 朴崍賢,2019.12.12,홍매 紅梅와 도자기 | 종이에 수묵담채 | 63x51.2cm,"5,000,000 - 12,000,000","5,000,000",0
성재휴 成在烋,2019.12.12,창녕昌寧/ 1915-1996 | 종이에 수묵담채 | 31.2x32.8cm | 창녕 昌寧,"800,000 - 2,000,000","800,000",0
이응노 李應魯,2019.12.12,나무 | 1985년 | 종이에 수묵 | 66.4x66.6cm | 전의 全義,"2,000,000 - 4,000,000",낙찰 X,N/A
"백윤문 白潤文 화, 정인보 鄭寅普 제",2019.12.12,산조 山鳥 | 종이에 수묵 | 75.3x28.9cm,"800,000 - 2,000,000","2,200,000","1,400,000"
변관식 卞寬植,2019.12.12,산수 山水 : 선면 | 종이에 수묵담채 | 14.8x51.7cm,"1,500,000 - 3,500,000","1,500,000",0
허백련 許百鍊,2019.12.12,산수 山水 | 종이에 수묵담채 | 23x35cm | 양천 陽川,"1,000,000 - 2,500,000","1,100,000","100,000"
허련 許鍊,2019.12.12,산수 山水 : 낙서암 樂棲庵에서 | 1885년(을유) | 종이에 수묵담채 | 55x206cm | 양천 陽川/정일 精一,"20,000,000 - 50,000,000","28,000,000","8,000,000"
"김양기 金良驥 화, 홍현주 洪顯周 제",2019.12.12,"산수 山水 | 종이에 수묵, 종이에 먹 | 25x31cm","5,000,000 - 10,000,000",낙찰 X,N/A
박승무 朴勝武,2019.12.12,기명절지 器皿折枝 | 종이에 수묵담채 | 30.9x30.9cm | 반남 潘南,"300,000 - 800,000","500,000","200,000"
김정현 金正炫,2019.12.12,초충 草蟲 | 종이에 수묵담채 | 30.7x31.3cm | 김해金海,"300,000 - 800,000","550,000","250,000"
조석진 趙錫晉 외 6인,2019.12.12,매난국죽석 梅蘭菊竹石 : 서화미술회 화과 교수 합작 | 비단에 수묵담채 | 109.6x35.1cm | 함안 咸安/응삼 應三,"1,000,000 - 2,500,000","1,900,000","900,000"
허백련 許百鍊,2019.12.12,강설 江雪 | 1938년(무인) | 종이에 수묵담채 | 32.2x46.9cm | 양천 陽川,"1,200,000 - 2,500,000","1,200,000",0
김정현 金正炫,2019.12.12,부여 낙화암소견 扶餘 落花岩所見 | 종이에 수묵담채 | 34.6x26.7cm | 김해 金海,"300,000 - 1,000,000","650,000","350,000"
고희동 高羲東,2019.12.12,산수 山水 | 1950년(경인) | 종이에 수묵담채 | 137.5x33.8cm | 제주 濟州,"800,000 - 2,000,000",낙찰 X,N/A
이도영 李道榮,2019.12.12,노해 蘆蟹 | 1917년(정사) | 종이에 수묵담채 | 122.2x29cm | 연안延安/중일仲一,"1,000,000 - 2,500,000",낙찰 X,N/A
작가미상,2019.12.12,갈우전도 葛隅全圖 | 천에 수묵 | 45.6x32cm,"1,500,000 - 3,000,000","1,700,000","200,000"
김규진 金圭鎭,2019.12.12,월야풍취죽 月夜風吹竹 | 비단에 수묵 | 134x45.5cm | 남평 南平/용삼 容三,"1,000,000 - 3,000,000","1,200,000","200,000"
"이화선 李花仙 화, 김유탁 金有鐸 제",2019.12.12,묵매 墨梅 | 종이에 수묵 | 130.8x32.6cm,"700,000 - 2,000,000","700,000",0
양기훈 楊基薰,2019.12.12,매죽조 梅竹鳥 | 비단에 수묵 | 115x42.2cm | 중화中和/치남痴南,"1,000,000 - 2,500,000","1,300,000","300,000"
죽촌여사 竹村女史,2019.12.12,묵란 墨蘭 | 비단에 수묵 | 105.3x32.4cm,"700,000 - 2,000,000","700,000",0
함인숙 咸仁淑,2019.12.12,추국 秋菊 | 비단에 담채 | 118.5x34.2cm,"700,000 - 1,800,000","900,000","200,000"
안중식 安中植,2019.12.12,산수 山水 | 1900년(경자) | 비단에 수묵담채 | 67.1x33.9cm | 순흥 順興/공립 公立,"1,500,000 - 3,000,000","5,400,000","3,900,000"
최린 崔麟,2019.12.12,묵란 墨蘭 | 종이에 수묵 | 127.6x32.5cm | 충주 忠州/공남 公南,"500,000 - 1,500,000","500,000",0
박생광 朴生光,2019.12.12,매작 梅雀 | 종이에 수묵담채 | 124.5x32.9cm,"600,000 - 1,300,000","1,150,000","550,000"
작가미상,2019.12.12,아악행렬 雅樂行列 | 종이에 수묵담채 | 27.8x41.5cm,"2,000,000 - 4,000,000",낙찰 X,N/A
작가미상,2019.12.12,마고선녀 麻姑仙女 | 종이에 수묵채색 | 40.2x31.2cm,"1,000,000 - 3,000,000",낙찰 X,N/A
민경갑 閔庚甲,2019.12.12,산수 山水 | 2004년 | 종이에 수묵채색 | 46.5x53.5cm,"2,000,000 - 4,000,000",낙찰 X,N/A
남관 南寬,2019.12.12,군상 群像 | 1974년 | 1974년 | 28.3x22.2cm,"500,000 - 1,500,000",낙찰 X,N/A
작가미상,2019.12.12,화조어해 花鳥魚蟹 | 종이에 수묵담채 | 63x37cmx6,"23,000,000 - 40,000,000",낙찰 X,N/A
이도영 李道榮 외 7인,2019.12.12,합작도 合作圖 | 종이에 수묵담채 | 109.3x33cm,"700,000 - 2,000,000","1,500,000","800,000"
박노수 朴魯壽,2019.12.12,산수 山水 | 1979년(기미) | 종이에 수묵담채 | 46x69.1cm | 밀양 密陽,"1,000,000 - 2,500,000","1,300,000","300,000"
민경갑 閔庚甲,2019.12.12,길상여일 吉祥如一 | 종이에 수묵담채 | 43.8x34.3cm,"500,000 - 1,200,000","1,000,000","500,000"
이하응 李昰應,2019.12.12,석란 石蘭 대련 | 1888년(무자) | 비단에 수묵 | 127x38.8cmx2 | 전주 全州/시백 時伯,"18,000,000 - 40,000,000",낙찰 X,N/A
변관식 卞寬植,2019.12.12,산수팔곡병 山水八曲屛 | 1943년(계미) | 종이에 수묵담채 | 121.6x30.4cmx8,"8,000,000 - 20,000,000",낙찰 X,N/A
유덕장 柳德章,2019.12.12,묵죽 墨竹 | 종이에 수묵 | 89.3x59.8cm | 진주 晋州/자고 子固,"15,000,000 - 30,000,000","17,500,000","2,500,000"
황성하 黃成河,2019.12.12,산수 山水 : 지두화 | 1960년(경자) | 종이에 수묵담채 | 32.8x127.5cm,"1,000,000 - 2,500,000","1,300,000","300,000"
지운영 池雲英,2019.12.12,강변산수 江邊山水 | 1931년 | 종이에 수묵담채 | 31.5x127.5cm | 충주 忠州,"800,000 - 2,000,000",낙찰 X,N/A
김응원 金應元,2019.12.12,석란십곡병 石蘭十曲屛 | 1921년(신유) | 종이에 수묵 | 118.7x31.2cmx10 | 김해 金海 /석범 錫範,"3,000,000 - 7,000,000",낙찰 X,N/A
최우석 崔禹錫,2019.12.12,기명절지 器皿折枝 | 종이에 수묵담채 | 31x125.3cm,"400,000 - 1,200,000",낙찰 X,N/A
김진우 金振宇,2019.12.12,묵죽 墨竹 | 1938년(무인) | 종이에 수묵 | 136x87.4cm | 강릉 江陵/군협 君協,"1,500,000 - 3,500,000","3,100,000","1,600,000"
김은호 金殷鎬,2019.12.12,추성부 秋聲賦 | 1943년(계미) | 비단에 수묵담채 | 35.8x111cm | 상산 商山,"1,500,000 - 3,000,000",낙찰 X,N/A
서병오 徐丙五,2019.12.12,국화 菊花 | 종이에 수묵 | 33.8x57.2cm | 달성 達城/순원舜原,"400,000 - 1,000,000","850,000","450,000"
남관 南寬,2019.12.12,무제 無題 | 1974년 | 종이에 과슈 | 24x16cm,"700,000 - 2,000,000","1,100,000","400,000"
문신 文信,2019.12.12,"용 龍 | 1988년 | 종이에 펜, 수채 | 16.3x24.2cm","600,000 - 1,500,000","650,000","50,000"
이한복 李漢福,2019.12.12,매조 梅鳥 : 백오 이해선 白烏 李海善(1905-1983) 선생에게 | 1944년(갑신) | 종이에 수묵담채 | 26x22.8cm | 전의 全義,"500,000 - 1,500,000","1,200,000","700,000"
서세옥 徐世鈺,2019.12.12,소과 蔬果 | 종이에 채색 | 27x24cm,"600,000 - 1,500,000","700,000","100,000"
허련 許鍊,2019.12.12,육군자 六君子 : 화첩 | 종이에 수묵 | 20.2x34cmx8 | 양천 陽川/정일 精一,"8,000,000 - 20,000,000","9,000,000","1,000,000"
다식 多識,2019.12.12,"| 종이에 먹, 수묵 | 24.7x15.7cm","6,000,000 - 15,000,000","11,500,000","5,500,000"
산형비기 山形秘記 : 지리서 地理書,2019.12.12,"| 종이에 먹, 수묵 | 21.8x14.3cm","3,000,000 - 6,000,000",낙찰 X,N/A
김종대 金鍾大,2019.12.12,시첩 詩帖 | 1930년(경오) | 종이에 먹 | 35x26.8cm | 김해 金海/윤명 允鳴,"1,000,000 - 2,500,000",낙찰 X,N/A
해동금석원 海東金石苑,2019.12.12,| 목판본 | 28x17.2cmx4,"7,000,000 - 15,000,000",낙찰 X,N/A
강현 姜鋧,2019.12.12,만주선생집서 晩洲先生集序 | 1716년(병신) | 종이에 먹 | 27.6x17.3cm | 진주 晉州/현지 顯之,"2,500,000 - 5,000,000","2,500,000",0
조윤형 曹允亨,2019.12.12,송하옹진적 松下翁眞蹟 | 종이에 먹 | 31.7x20.4cm(26면) | 창녕 昌寧/치행 穉行,"8,000,000 - 20,000,000","10,500,000","2,500,000"
허목 許穆,2019.12.12,정랑권공묘표 正郞權公墓表 | 1667년(정미) | 종이에 먹 | 22.8x22cmx22 | 양천 陽川/화보 和甫,"10,000,000 - 20,000,000","10,000,000",0
청야만집 靑野漫集 : 한글 필사본,2019.12.12,| 종이에 먹 | 35.7x21.7cmx4,"15,000,000 - 30,000,000","15,000,000",0
나전산수문장식벼루함 螺鈿山水文裝飾硯函,2019.12.12,"| 나무에 옷칠, 나전장식 | 22.8x23x40cm","1,500,000 - 3,000,000","1,500,000",0
반닫이 櫃,2019.12.12,"| 나무에 조각, 금속장식 | 74x50x110cm","1,500,000 - 4,000,000",낙찰 X,N/A
경상도반닫이 慶尙道櫃,2019.12.12,"| 나무에 조각, 금속장식 | 71.5x44x134.5cm","2,000,000 - 4,000,000",낙찰 X,N/A
나전대모봉황문탁자 螺鈿玳瑁鳳凰文卓子,2019.12.12,"| 나무에 조각, 대모·나전장식 | 21.8x22.5x39cm","2,000,000 - 4,000,000","2,400,000","400,000"
곱돌화로 石製火爐,2019.12.12,"| 돌에 조각, 금속장식 | 14x17x23cm","1,000,000 - 2,500,000",낙찰 X,N/A
시전지판 詩箋紙板 : 난초 蘭草,2019.12.12,| 나무에 조각 | 1.7x21.8x7cm,"1,000,000 - 2,500,000","2,000,000","1,000,000"
목기러기 木雁,2019.12.12,| 나무에 조각 | 16.4x27.3x11cm,"1,000,000 - 2,500,000",낙찰 X,N/A
연상 硯床,2019.12.12,"| 나무에 조각, 금속장식 | 21.8x22.5x39cm","800,000 - 2,000,000",낙찰 X,N/A
거미장식벼루 蛛裝飾硯,2019.12.12,| 돌에 조각 | 1.8x16.8x13.3cm,"1,000,000 - 2,500,000",낙찰 X,N/A
목제용해태문필통 木製龍獬豸文筆筒,2019.12.12,"| 나무에 조각, 채색 | 13.8x7x7cm","2,000,000 - 4,000,000",낙찰 X,N/A
한글점통 占桶,2019.12.12,"| 나무에 조각,나무에 먹 | 21.5x9x9cm","2,000,000 - 5,000,000",낙찰 X,N/A
부적목판 符籍木板,2019.12.12,| 나무에 조각 | 17.4x30.7cm,"1,000,000 - 2,000,000","1,600,000","600,000"
김기창 金基昶,2019.12.12,월하조어 月下釣魚 : 도자화 | 1971년(신해) | 도자기에 청화 | 17.7x4.8x16.2cm | 김해金海/,"500,000 - 1,500,000","850,000","350,000"
버나드 리치 Bernard Howell Leach,2019.12.12,채색다완 彩色茶碗 | 6.7x12.2x5cm,"2,000,000 - 4,000,000",낙찰 X,N/A
버나드 리치 Bernard Howell Leach,2019.12.12,백자화병 白磁花甁 | 1964년 | 13.2x3.2x9.1cm,"2,000,000 - 4,000,000",낙찰 X,N/A
전뢰진 田雷鎭,2019.12.12,모자 母子 | 1975년 | 대리석에 조각 | 30.5x20x55.5cm,"5,000,000 - 12,000,000",낙찰 X,N/A
일영대 日影臺 : 석제해시계,2019.12.12,| 대리석에 조각 | 33x26x24.5cm,"12,000,000 - 30,000,000",낙찰 X,N/A
김응현 金膺顯,2019.09.26,양신화기 養神龢氣 | 1985년(을축) | 종이에 먹 | 59.2x61cm | 안동 安東/선경 善卿,"300,000 - 1,000,000","300,000",0
서희환 徐喜煥,2019.09.26,밝은누리 | 1977년 | 종이에 먹 |,"700,000 - 1,500,000",낙찰 X,N/A
이가원 李家源,2019.09.26,호상 豪爽 | 1990년(경오) | 종이에 먹 | 37.5x92cm | 진보 眞寶,"300,000 - 800,000",낙찰 X,N/A
안광석 安光碩,2019.09.26,"관중 출토 수렵전 關中 出土 狩獵塼 : 탁본 | 1979년(경술) | 종이에 탁본, 먹 | 36.1x47.6cm","800,000 - 2,000,000","800,000",0
신익희 申翼熙,2019.09.26,복록인애 福祿仁愛 : 일석 이희승 一石 李熙昇(1896-1989)에게 | 1955년(을미) | 종이에 먹 | 31.7x118.8cm,"2,500,000 - 5,000,000","2,600,000","100,000"
이한복 李漢福,2019.09.26,이색 李穡 시 : 군상억 君相憶 | 종이에 먹 | 14.4x50.6cm | 전의 全義,"700,000 - 1,800,000",낙찰 X,N/A
서희환 徐喜煥,2019.09.26,푸른뫼아람나무 | 1986년 | 종이에 먹 | 121.2x32cm,"800,000 - 2,000,000",낙찰 X,N/A
김상옥 金相沃,2019.09.26,완당 阮堂 시 | 1967년(정미) | 종이에 먹 | 127.3x21.5cm,"300,000 - 800,000","400,000","100,000"
정인보 鄭寅普,2019.09.26,연처초연재 燕處超然齋 | 종이에 먹 | 131x28.4cm | 동래 東萊/경업 經業,"1,200,000 - 2,500,000","3,400,000","2,200,000"
정학교 丁學敎,2019.09.26,시고 詩稿 | 1914 | 비단에 먹 | 118.5x31.9cm | 나주 羅州/화경 化境,"1,000,000 - 2,500,000",낙찰 X,N/A
정학교 丁學敎,2019.09.26,시고 詩稿 | 종이에 먹 | 118.8x24.7cm | 나주 羅州/화경 化境,"1,000,000 - 2,500,000",낙찰 X,N/A
이황 李滉,2019.09.26,정몽주 鄭夢周 시 : 어부 漁父 | 종이에 먹 | 34x21.6cm | 진보 眞寶/경호 景浩,"4,000,000 - 10,000,000","4,000,000",0
조목 趙穆,2019.09.26,이학통록 발 理學通錄 跋 | 종이에 먹 | 43.3x76.3cm | 횡성 橫城/사경 士敬,"3,000,000 - 7,000,000","3,000,000",0
김정희 金正喜,2019.09.26,시고 詩稿 | 종이에 먹 | 24x60cm | 경주 慶州/원춘 元春,"15,000,000 - 30,000,000","15,500,000","500,000"
홍양호 洪良浩,2019.09.26,"축계옹설 祝鷄翁說 | 종이에 먹 | 33.5x23.4cm, 24x22.8cm | 풍산 豊山/한사 漢師","2,500,000 - 5,000,000","2,000,000","-500,000"
민진원 閔鎭遠,2019.09.26,서간 書簡 | 1729년(기유) | 종이에 먹 | 29x40.2cm | 여흥 驪興/성유 聖猷,"300,000 - 1,000,000",낙찰 X,N/A
송시열 宋時烈,2019.09.26,서간 書簡 | 1689년(기사) | 종이에 먹 | 23.8x33.7cm | 은진 恩津/영보 英甫,"800,000 - 2,000,000","900,000","100,000"
송시열 宋時烈,2019.09.26,주자어류 朱子語類 | 종이에 먹 | 94.3x65.3cmx4 | 은진 恩津/영보 英甫,"12,000,000 - 35,000,000","22,000,000","10,000,000"
김장생 金長生,2019.09.26,서간 書簡 | 1615년(을묘) | 종이에 먹 | 28.4x18.8cm | 광산 光山/희원 希元,"2,000,000 - 4,000,000","2,000,000",0
김집 金集,2019.09.26,서간 書簡 | 종이에 먹 | 26.4x41.6cm | 광산 光山/사강 士剛,"1,300,000 - 3,000,000","1,500,000","200,000"
"김수항 金壽恒, 김창흡 金昌翕, 김창집 金昌集",2019.09.26,서간 書簡 | 종이에 먹 | 25.8x25.5cm 외 | 안동 安東,"2,000,000 - 4,500,000",낙찰 X,N/A
정대유 丁大有,2019.09.26,시고 詩稿 : 선면 | 종이에 먹 | 15.5x51.5cm | 나주 羅州,"400,000 - 1,000,000",낙찰 X,N/A
이도영 李道榮,2019.09.26,육완당 六玩堂 시 : 선면 | 1933년(계유) | 종이에 먹 | 16.1x49.8cm | 연안 延安/중일 仲一,"300,000 - 1,500,000","300,000",0
김교헌 金敎獻,2019.09.26,유호인 兪好仁 시 : 군자사 君子寺 | 비단에 먹 | 120x35cm | 경주 慶州/백유 伯猷,"600,000 - 1,500,000","2,100,000","1,500,000"
"서재필 徐載弼, 김윤식 金允植, 김옥균 金玉均, 김가진",2019.09.26,시고 詩稿 : 합작 | 비단에 먹 | 91.3x36.1cm | 대구 大丘,"7,000,000 - 20,000,000",낙찰 X,N/A
이상룡 李相龍,2019.09.26,서간 書簡 | 1919년(기미) | 종이에 먹 | 20.7x46.2cm | 고성 固城/만초 萬初,"1,000,000 - 2,500,000",낙찰 X,N/A
최익현 崔益鉉,2019.09.26,서간 書簡 | 1903년(계묘) | 종이에 먹 | 24.5x48.5cm | 경주 慶州/찬겸 贊謙,"1,000,000 - 2,500,000",낙찰 X,N/A
김창숙 金昌淑,2019.09.26,서간 書簡 | 1900년(경자) | 종이에 먹 | 21.6x45.1cm | 의성 義城/문좌 文佐,"1,200,000 - 3,000,000","2,200,000","1,000,000"
민영환 閔泳煥,2019.09.26,서간 書簡 | 종이에 먹 | 23.4x27.3cm | 여흥 驪興/문약 文若,"800,000 - 1,800,000",낙찰 X,N/A
한호 韓濩,2019.09.26,"흥학당 興學堂 : 편액 | 나무에 서각, 채색 | 21.4x71.3cm | 삼화 三和/경홍 景洪","2,000,000 - 5,000,000",낙찰 X,N/A
김정희 金正喜,2019.09.26,"무량수 無量壽 : 편액 | 나무에 서각, 채색 | 57.6x146.8cm | 경주 慶州/원춘 元春","2,500,000 - 5,000,000","3,600,000","1,100,000"
오세창 吳世昌,2019.09.26,전서 篆書 대련 | 종이에 먹 | 131.5x33.6cmx2 | 해주 海州/중명 仲銘,"1,200,000 - 2,500,000",낙찰 X,N/A
해온루 解愠樓,2019.09.26,"| 나무에 서각, 채색 | 26.4x69cm","4,000,000 - 10,000,000","4,000,000",0
김응원 金應元,2019.09.26,석란 石蘭 | 비단에 수묵 | 130.5x48.4cm | 김해 金海/석범 錫範,"1,500,000 - 4,000,000","1,500,000",0
"노수현 盧壽鉉, 김용진 金容鎭",2019.09.26,강변추경 江邊秋景 | 종이에 수묵담채 | 128x32.1cm,"1,300,000 - 3,000,000","1,300,000",0
김규진 金圭鎭,2019.09.26,묵죽 墨竹 | 종이에 수묵 | 135x33.7cm | 남평 南平/용삼 容三,"1,000,000 - 2,500,000",낙찰 X,N/A
허백련 許百鍊,2019.09.26,강변산수 江邊山水 | 종이에 수묵담채 | 44.5x69cm | 양천 陽川,"2,000,000 - 4,000,000","2,100,000","100,000"
안중식 安中植,2019.09.26,노해 蘆蟹 | 종이에 수묵담채 | 30.3x39.5cm | 순흥 順興/공립 公立,"1,500,000 - 3,000,000","1,500,000",0
이도영 李道榮,2019.09.26,왕희지환아 王羲之換鵝 | 1933년(계유) | 종이에 수묵담채 | 131.7x31.7cm | 연안 延安/중일 仲一,"800,000 - 2,000,000",낙찰 X,N/A
허련 許鍊,2019.09.26,산수 山水 | 종이에 수묵담채 | 77.3x38.3cm | 양천 陽川/정일 精一,"3,000,000 - 8,000,000","3,600,000","600,000"
신명연 申命衍,2019.09.26,산수 山水 | 비단에 수묵담채 | 135.6x42.8cm | 평산 平山/실부 實夫,"4,000,000 - 8,000,000","6,000,000","2,000,000"
"김은호 金殷鎬, 윤덕영 尹德榮",2019.09.26,"매조 梅鳥 | 1918년(무오) | 비단에 수묵담채 | 120x37.2cm | 상산 商山, 해평 海平","1,000,000 - 3,000,000","1,000,000",0
민경갑 閔庚甲,2019.09.26,철쭉 | 종이에 수묵담채 | 38x55cm,"1,500,000 - 4,000,000",낙찰 X,N/A
민경갑 閔庚甲,2019.09.26,소과 蔬果 | 2009년 | 종이에 수묵채색 | 21.3x26.5cm,"800,000 - 2,000,000","1,100,000","300,000"
정수영 鄭遂榮,2019.09.26,송하한담 松下閑談 | 종이에 수묵담채 | 25.6x30.2cm | 하동 河東/군방 君芳,"6,000,000 - 12,000,000","7,000,000","1,000,000"
산수 山水 : 지직화 紙織畫,2019.09.26,| 종이에 수묵담채 | 100x45.8cm,"2,000,000 - 5,000,000","3,200,000","1,200,000"
김규진 金圭鎭,2019.09.26,죽지일면조 竹枝一眠鳥 | 종이에 수묵 | 128.2x33cm | 남평 南平/용삼 容三,"1,000,000 - 2,500,000","1,100,000","100,000"
화조 花鳥 대련,2019.09.26,| 종이에 수묵담채 | 91x37.3cmx2,"2,000,000 - 4,000,000",낙찰 X,N/A
傳 강세황 姜世晃,2019.09.26,"소림모옥 疏林茅屋 : 이어 李漁 시 詩 | 종이에 수묵 | 화 24.9x13.1cm, 시 24.9x13.4cm | 진주 晋州/광지 光之","4,000,000 - 10,000,000","4,000,000",0
상춘 賞春 : 이섭 李涉 시,2019.09.26,| 종이에 수묵담채 | 26.8x40.1cm,"2,500,000 - 5,000,000",낙찰 X,N/A
허련 許鍊,2019.09.26,괴석팔곡병 怪石八曲屛 | 종이에 수묵담채 | 101.5x38.5cmx8 | 양천 陽川/정일 精一,"10,000,000 - 25,000,000","10,000,000",0
소현서원 紹賢書院,2019.09.26,| 종이에 수묵담채 | 40.8x35.6cm,"2,000,000 - 5,000,000","3,100,000","1,100,000"
김준근 金俊根,2019.09.26,죽하맹호 竹下猛虎 | 비단에 수묵 | 109.5x33.3cm,"9,000,000 - 18,000,000",낙찰 X,N/A
주옥경 朱鈺卿,2019.09.26,묵란 墨蘭 | 1913년(계축) | 종이에 수묵 | 113x31.5cm,"600,000 - 1,500,000","1,200,000","600,000"
이하응 李昰應,2019.09.26,묵란 墨蘭 : 대련 | 종이에 수묵 | 135x33.2cmx2 | 전주 全州/시백 時伯,"9,000,000 - 20,000,000","9,000,000",0
이도영 李道榮,2019.09.26,화조 花鳥 | 종이에 수묵담채 | 109.3x31.8cm | 연안 延安/중일 仲一,"1,000,000 - 2,300,000","1,300,000","300,000"
허백련 許百鍊,2019.09.26,산수 山水 | 비단에 수묵담채 | 126.3x37.1cm | 양천 陽川,"1,000,000 - 2,500,000",낙찰 X,N/A
장우성 張遇聖,2019.09.26,금강산 金剛山 | 1972년(임자) | 종이에 수묵담채 | 51.5x67.8cm,"1,800,000 - 4,000,000","1,800,000",0
고사탁족 高士濯足,2019.09.26,| 종이에 수묵담채 | 31x23cm,"500,000 - 1,500,000","700,000","200,000"
